from,to,distance
0.0,1.0,1811.7999999999997
0.0,2.0,1440.1999999999998
0.0,3.0,438.09999999999997
0.0,4.0,1102.1
0.0,5.0,1873.3
0.0,6.0,1212.8
0.0,7.0,2688.0
0.0,8.0,2824.3
0.0,9.0,2440.2
0.0,10.0,2416.6
0.0,11.0,2569.7
0.0,12.0,2402.1
0.0,13.0,2386.6
0.0,14.0,923.5
0.0,15.0,2345.6
0.0,16.0,55.7
0.0,17.0,2194.7
0.0,18.0,1471.1
0.0,19.0,1274.8
0.0,20.0,1494.6
0.0,21.0,1761.0
0.0,22.0,1023.7
0.0,23.0,1758.5
0.0,24.0,2251.9
0.0,25.0,2485.0
0.0,26.0,1913.7999999999997
0.0,27.0,1572.1999999999998
0.0,28.0,2233.7
0.0,29.0,1400.2
0.0,30.0,982.5
0.0,31.0,2029.7999999999997
0.0,32.0,2020.4999999999998
0.0,33.0,2377.0
0.0,34.0,2504.8999999999996
0.0,35.0,1506.1999999999998
0.0,36.0,1588.6
0.0,37.0,2447.4
0.0,38.0,1743.1
0.0,39.0,1263.7
0.0,40.0,2072.1
0.0,41.0,2168.6
0.0,42.0,2067.0
0.0,43.0,2491.2
0.0,44.0,2330.5
0.0,45.0,2642.0
0.0,46.0,2596.2999999999997
0.0,47.0,5393.2
0.0,48.0,4701.0
0.0,49.0,4391.3
0.0,50.0,4479.200000000001
0.0,51.0,4546.8
0.0,52.0,795.9
0.0,53.0,4271.4
0.0,54.0,4070.8
0.0,55.0,3939.2999999999997
0.0,56.0,3752.5
0.0,57.0,3454.6
0.0,58.0,3032.0999999999995
0.0,59.0,2726.3999999999996
0.0,60.0,2500.6
0.0,61.0,4858.699999999999
0.0,62.0,2044.0
0.0,63.0,5413.699999999999
0.0,64.0,5170.0999999999985
0.0,65.0,5020.4
0.0,66.0,3625.9999999999995
0.0,67.0,3326.4999999999995
0.0,68.0,3161.1
0.0,69.0,2818.6
0.0,70.0,2338.2
0.0,71.0,4771.4
0.0,72.0,4722.5
0.0,73.0,4937.900000000001
0.0,74.0,4125.1
0.0,75.0,4162.0
0.0,76.0,1222.5
0.0,77.0,1150.1
0.0,78.0,2949.7
0.0,79.0,3696.9
0.0,80.0,3312.8
0.0,81.0,3439.5
0.0,82.0,3774.9
0.0,83.0,3178.0
0.0,84.0,2693.0
0.0,85.0,2455.0
0.0,86.0,3423.5
0.0,87.0,3505.2
0.0,88.0,3826.2
0.0,89.0,2434.2999999999997
